N,P,K,temperature,humidity,ph,rainfall,label
79,62,65,30.54,68.48,6.71,49.58,muskmelon
92,54,60,29.96,75.3,7.02,43.5,watermelon
45,76,48,29.97,89.57,7.32,195.66,papaya
66,41,41,23.68,67.55,6.64,148.74,papaya
22,144,164,24.45,78.26,5.88,238.62,apple
40,40,30,27.57,53.37,5.55,114.1,mango
30,140,120,18.25,85.04,6.64,149.36,apple
10,53,29,31.23,54.65,6.62,47.0,mothbeans
32,58,35,32.2,41.49,7.32,42.95,mungbean
21,52,29,25.54,32.98,6.08,55.5,lentil
31,47,37,27.44,68.67,7.92,62.38,blackgram
38,20,50,30.1,76.57,5.59,150.28,coconut
32,17,29,27.68,67.92,5.6,74.66,pomegranate
92,29,21,26.17,63.32,6.66,198.35,coffee
28,15,48,31.96,93.45,5.51,282.82,coconut
34,15,30,22.76,55.19,5.81,74.93,pomegranate
23,112,172,16.98,60.77,5.53,193.35,apple
65,52,26,19.8,67.29,5.63,94.92,maize
72,63,66,34.1,72.85,6.5,197.72,papaya
80,57,67,27.36,77.25,6.46,78.82,muskmelon
91,39,38,32.24,77.63,7.4,257.15,jute
75,74,48,30.12,62.18,7.26,117.45,papaya
16,12,33,28.59,53.87,7.1,135.55,orange
67,78,60,33.88,89.03,7.27,130.98,papaya
35,48,34,20.64,36.11,6.2,69.53,chickpea
99,34,37,27.64,69.74,6.6,147.38,coffee
31,56,16,29.98,57.57,6.38,58.47,mungbean
28,35,40,21.67,58.59,7.41,80.82,orange
40,48,34,29.68,50.74,7.5,79.32,pigeonpeas
96,50,35,20.81,88.27,5.01,174.12,rice
30,19,35,31.67,48.38,6.39,76.33,pomegranate
18,47,17,29.6,30.73,7.64,32.85,mothbeans
94,23,40,23.22,64.22,5.44,182.65,coffee
17,38,28,19.46,54.58,7.56,52.56,lentil
82,16,26,18.63,83.67,6.06,123.78,coffee
36,37,18,25.49,40.3,6.27,63.0,blackgram
102,19,29,24.49,71.71,6.0,233.83,coffee
23,63,32,22.14,16.62,7.16,72.46,chickpea
28,70,21,24.21,26.54,7.27,76.37,chickpea
36,53,27,23.75,31.48,6.04,84.71,kidneybeans
74,49,43,31.6,66.35,6.59,106.41,papaya
38,17,53,25.39,76.12,7.23,126.46,mango
44,50,26,27.79,68.35,6.29,78.99,blackgram
91,38,34,22.87,79.07,6.18,97.96,maize
16,59,29,31.31,40.82,6.37,96.52,mungbean
61,37,25,19.19,69.19,6.88,108.04,maize
26,41,18,29.19,25.0,6.33,101.8,pigeonpeas
19,29,52,29.28,82.94,5.83,296.77,coconut
79,49,50,27.67,79.01,6.24,69.37,muskmelon
89,53,31,24.25,68.57,6.0,80.74,maize
25,59,33,25.64,45.49,6.57,65.22,blackgram
94,57,47,29.66,90.9,6.98,189.77,jute
27,105,175,22.3,77.38,7.06,87.77,grapes
16,60,17,33.14,41.21,6.2,66.39,mungbean
97,58,59,25.38,74.01,6.85,231.22,jute
19,65,22,24.14,43.6,5.72,83.13,kidneybeans
129,41,17,25.6,52.47,6.09,69.28,cotton
10,143,128,22.87,70.17,6.73,119.6,apple
92,52,54,27.72,81.84,6.73,230.32,banana
24,46,25,25.57,53.33,7.77,57.59,blackgram
85,43,58,29.85,57.99,7.3,95.64,watermelon
19,20,35,24.44,70.06,5.7,268.84,coconut
13,38,23,27.55,29.24,6.26,63.95,lentil
18,27,41,30.99,59.14,5.84,126.43,orange
59,79,57,29.85,61.64,7.26,164.82,papaya
21,41,16,22.1,51.0,6.06,136.04,pigeonpeas
34,33,46,18.21,78.32,7.35,158.93,orange
63,48,45,27.86,77.24,5.8,295.42,rice
102,41,48,30.13,59.92,7.29,53.69,muskmelon
38,57,33,30.34,33.22,7.11,75.62,pigeonpeas
95,65,56,26.13,74.85,6.38,68.87,muskmelon
25,15,46,24.45,82.66,7.24,182.02,coconut
86,34,33,23.65,74.05,6.78,219.67,coffee
70,60,42,26.76,90.15,6.06,128.73,banana
29,63,22,28.32,58.03,7.53,96.47,blackgram
53,77,51,34.86,80.11,6.7,161.34,papaya
101,73,54,31.05,76.49,5.67,117.89,banana
130,64,35,34.52,66.22,5.7,90.19,cotton
107,56,65,28.61,55.82,6.07,70.31,watermelon
28,31,21,24.74,51.55,7.04,178.99,orange
80,49,43,24.79,93.59,7.05,275.83,jute
38,54,36,21.22,25.65,6.26,85.46,chickpea
77,58,57,20.36,75.53,5.75,271.58,rice
13,44,23,31.76,43.04,6.14,49.76,mothbeans
24,39,48,28.91,71.07,6.14,115.62,orange
22,21,53,25.46,49.34,6.41,131.71,mango
62,58,50,31.69,83.13,7.17,154.97,jute
38,58,28,31.3,34.11,7.5,56.56,mothbeans
42,40,39,27.19,43.05,7.51,69.69,blackgram
30,10,30,29.42,44.63,7.32,94.37,pomegranate
81,36,23,19.21,56.58,7.48,79.34,maize
27,55,18,30.81,37.69,6.29,61.2,mothbeans
132,41,35,27.2,50.67,7.4,59.09,cotton
54,44,48,28.51,83.8,6.23,165.97,papaya
40,61,36,22.99,42.3,5.63,67.59,pigeonpeas
