N,P,K,temperature,humidity,ph,rainfall,crop,yield
122,56,79,27.5074468598498,88.3363875117026,8.217961691069867,1187.6622600912253,banana,4531.33
112,64,94,31.972521055755184,86.08125546864039,7.526416620416219,1743.5838618863206,chickpea,4783.35
34,73,66,24.799193506861577,63.090414934846855,4.707644678676251,1125.5069840736833,rice,2829.8
126,74,135,21.590135995172037,58.16129827522377,7.849125094796234,1430.2939107765533,tomato,4211.93
91,90,48,38.86600401790578,54.49563889396707,8.252290386821645,335.44643182027914,mango,3491.94
40,76,42,30.089531178076566,75.97241471331854,8.474756770198676,1008.2100426446774,groundnut,3450.32
122,99,27,38.34878346456796,73.65829371861558,5.00107037652986,370.8077013845335,maize,3838.42
141,24,66,20.085325054957877,42.751739450968614,6.953093077306138,1279.0310164159823,wheat,4529.69
94,41,105,18.67235409782332,73.64477203452348,5.297834663536637,705.8978681128733,chickpea,3683.41
107,77,57,36.395572678097594,46.408027616632594,5.550038563650396,717.0784957851463,wheat,4190.62
136,27,51,32.02293031543128,31.206291874029162,7.482337352891432,338.1801268609653,wheat,3202.56
119,92,36,19.664462481341033,75.44856403992951,8.410670870796242,758.4281505933219,sugarcane,3392.22
123,52,83,21.733992516588444,71.91158415994872,6.879422005852092,1112.0189187927754,wheat,4713.12
72,44,119,35.01659853813278,56.702602054332196,7.902337879288989,1252.3881857091706,wheat,3517.02
21,87,41,26.3467154998984,64.16959363476789,4.535535215315312,319.9979922964819,sugarcane,2197.29
107,67,35,31.76351266265227,91.56599746087437,4.6465265593984775,1372.6265342889265,sugarcane,4463.43
57,42,34,22.958800553400273,68.68801175885345,6.886897349303453,1079.9763693562904,mango,3092.02
149,23,84,24.530748819371915,72.76245579687455,6.055932406401757,1166.4344142456225,rice,4212.36
40,43,32,39.76781396557763,34.15423586169417,8.059031259892615,1699.0340127820305,rice,3334.63
77,70,66,21.190427179367965,40.789639943883145,5.707927652342935,816.0076015487598,mango,3449.66
41,13,135,27.66140942591285,49.561897966753236,6.22820411001619,513.2920004570624,sugarcane,2551.97
108,97,96,36.110058579763304,65.0596556718293,6.611636791326273,1193.2583162725173,cotton,4643.54
68,68,40,20.98058034164645,80.47840823891588,5.592155331544991,1901.0394515634298,maize,4818.9
78,38,73,25.380343917108267,50.88065705625816,8.133979469813177,1132.1653145260361,mango,3468.5
34,92,42,30.377282184249708,53.164857981120306,6.3581343386323885,1697.4419134151117,groundnut,3520.54
70,15,11,27.029703786877562,46.64980753629368,6.196622436476067,1562.6576980298596,mango,3367.73
127,58,27,26.487556664257937,46.54960640419488,7.89901219573733,1132.9954166176967,sugarcane,3808.84
74,49,93,24.062743283053088,91.67614998316178,5.7479136065915934,1365.5985997761604,cotton,4078.93
83,92,44,29.666158194373125,71.30471667522785,7.769861378043844,932.0243313739853,chickpea,3743.67
70,74,123,30.60931744809026,40.13358083009655,4.989091410885398,1155.1316403749488,sugarcane,4055.45
40,78,119,31.332238522534066,76.94615757547689,5.231154133459599,1113.1143595231424,banana,3893.12
92,36,97,16.759202697650732,76.93137431840188,8.303366664686939,1476.3986533239913,banana,4540.68
37,89,81,30.77585439280122,73.32056274349083,7.869789963230832,937.9663748413088,maize,3649.79
108,15,134,38.830929469530815,38.756828930893136,6.051595605825625,379.5808207198521,sugarcane,4054.38
79,22,39,28.52465588820209,56.51944642552315,7.053825794868118,1619.677141064521,tomato,3805.99
33,73,62,32.88167706273111,36.93916148213685,8.271880757723823,1432.7354059907736,banana,3031.99
28,71,147,28.918307693980445,83.08033276598887,5.347435611456337,1910.2222198232578,wheat,4211.42
109,28,96,36.36851546479947,72.58618930656476,4.736041880892003,971.689116526153,chickpea,4507.47
72,85,148,38.23957736493922,62.96825588990819,6.649872258021221,340.7701824399705,wheat,4452.73
149,89,22,19.605497482408982,52.29600597253878,5.070387514654373,418.91417545383734,groundnut,4592.0
103,52,49,25.921500913928163,41.976215842138174,5.2492763708455,1591.9751777655404,maize,3622.91
111,83,98,24.809552523318033,36.91909327415201,8.066156758926319,321.9631090014835,groundnut,3218.7
130,98,77,25.13037808248197,93.00063948989848,4.529613834579566,1834.0870608727137,groundnut,5027.54
27,29,51,18.138104530696896,42.9771617271415,7.767280105855474,706.9702003313337,banana,2453.81
54,77,103,35.34039314951798,33.89185073689007,6.56780310534243,1817.9822730427845,sugarcane,3823.07
100,53,28,15.894156075373381,92.50834019186226,6.737177550581201,1592.312327841703,rice,4457.89
69,32,32,28.205665193178923,65.68186318825876,7.18707184182545,1768.161865325042,banana,3546.48
123,11,63,31.54695970111728,81.78268777442429,6.2257799692320415,585.2714451859383,mango,3418.92
21,31,74,20.18673595147193,32.8447800678907,4.9624475527696585,1272.2482924644228,rice,2732.61
73,66,149,37.64625480246989,66.85148073617755,4.911280895219296,368.4604377303607,sugarcane,3772.7
125,81,33,35.96373017561983,55.883647667669685,7.517448796735771,564.1053815708767,groundnut,4400.08
23,16,43,26.777093237098132,80.17768823274243,5.384140573069139,757.8240092070832,cotton,2680.27
73,87,62,25.278723308503466,32.49766696653881,4.612406734470577,1533.4626647180417,maize,3925.36
63,65,145,20.9141981302775,56.10988695650494,8.418455556395765,244.48588289926997,sugarcane,3150.79
33,76,27,33.249830616124086,81.93977226660274,8.421566077442773,1825.6111091698456,cotton,3687.07
114,25,66,18.293594990799104,63.975322201494045,6.012565349375119,327.44632468325904,chickpea,3870.93
67,92,121,32.00594384609458,65.75251816490925,4.602095378228453,877.6823516203289,groundnut,4123.59
34,60,14,36.06142465296034,36.315704327787756,7.409058634370998,345.9613309914514,wheat,2289.81
59,91,22,20.711789397925592,38.60148614780594,7.824048241942677,1584.1421175860728,mango,3630.61
101,89,92,36.66068507246891,74.00497434877607,5.0000547604632395,454.3669521249622,cotton,4313.07
130,81,38,15.83307998598771,73.87803044884478,5.041834459636945,1792.5624384724238,sugarcane,5174.75
72,21,12,37.81968463466313,93.64172062639776,7.788895998787162,1154.399575864747,wheat,3243.95
43,62,99,17.95905569628245,76.27694422426077,8.187629554860939,1907.251075019713,banana,3635.2
143,84,113,31.143979448450814,62.060827235674076,7.663019346696599,722.6496430547516,chickpea,4511.09
60,14,132,21.252061722848545,85.72630852968094,5.302979796678118,1017.7690733811038,chickpea,3722.22
34,36,85,35.913809779240346,36.79074407803586,6.146084877736884,1449.6445321932404,banana,3161.96
64,21,139,27.807509022886663,59.20422835825654,6.903369703463657,1697.443962627729,chickpea,4199.45
84,26,117,18.381029781162535,48.66209221029203,5.141173895283314,958.4427579420922,wheat,3812.25
108,15,91,29.27478928314946,36.801457450295665,5.342409970530033,1806.3785689888955,wheat,3403.0
90,14,86,25.197065254924578,79.62763550682381,5.63154428827422,412.3769749839114,maize,3349.87
28,66,11,31.53619541532753,63.20148198242745,6.538053081163346,1475.6324938581718,rice,3346.79
107,37,136,37.047582119086485,66.1899667933369,6.543219548710191,826.7581679845888,sugarcane,4663.35
148,87,144,25.23472827958546,56.731587214171384,7.75717807739021,382.4038714386745,cotton,4745.93
82,78,35,22.24701698834649,59.92192005417779,7.512040802750502,895.996202243607,maize,4088.05
100,68,97,15.36287736319022,37.5411301629952,8.154942700439769,1784.3881240740222,rice,4413.78
52,42,25,29.37097594649687,73.73965857865346,7.831606891298385,1964.960968319552,wheat,3719.37
142,71,82,25.05686918578584,58.10907837433889,5.515510193222619,907.0397427808687,groundnut,4535.87
24,59,41,24.36623047537072,83.0898922534229,5.8251870772159995,1795.5494980514752,maize,3585.07
60,28,24,19.573383032105312,42.758668009299946,6.501692974530135,1117.3779492353808,tomato,3149.26
47,95,14,25.751383629781856,43.328581072224324,4.557084538254578,1490.6270677950947,chickpea,3222.55
91,78,83,39.61104883958421,71.97437214949471,8.115608025134886,281.6685600928817,chickpea,4083.01
31,75,61,22.44385384180611,84.9902225208308,4.677376850249357,1203.1615495712422,wheat,3718.96
52,56,86,29.992610335202507,60.69285951018139,5.789765083266545,326.29148517978274,rice,3524.94
67,48,119,34.41217203289167,77.2520014676515,6.776699164785627,683.5123227688388,mango,3543.8
81,77,115,33.72894557941329,94.95644489705056,6.571365554427463,1220.2657865636215,sugarcane,4390.17
56,42,136,23.21935718731477,94.36726658238032,7.117839571303499,1652.894779559025,maize,4511.82
118,22,16,30.27150208792126,78.3818947834105,6.610080701176836,1209.6085588470391,banana,4019.93
123,93,49,36.78161713175393,78.07312182908618,5.416005702812138,1885.1447740073781,tomato,5103.36
54,63,108,15.386185693326949,46.09522766792887,5.3043127511754875,1658.5985136365039,tomato,3467.67
120,16,94,25.89335892108269,84.18007605034529,8.128988276301994,481.23226298918473,cotton,3438.68
20,88,74,20.606835456047634,56.33163825806284,5.55586694694237,900.1252741302872,tomato,3255.53
24,96,141,24.715807259970973,92.52960414134347,5.623908935518054,1403.273769152202,chickpea,4028.55
122,23,20,25.399740199381043,35.29279976595081,6.151811584401378,1889.1308568967222,sugarcane,4207.5
46,96,117,33.666774119665924,58.32962397672719,5.057753308599896,1977.8885637404076,wheat,4076.29
34,28,35,17.34554680988608,66.1296316994274,6.5290913776929616,1573.7355883330529,tomato,2984.56
109,63,94,27.814597578312764,56.335153460600715,7.160127046808526,1232.784750042855,banana,3682.73
61,29,132,29.104869794968632,43.68764738282132,7.6440019683094675,1561.8974415283853,maize,4044.49
143,38,77,27.35394008879511,68.54425177086314,7.3458169674569165,691.8255550351059,rice,4518.75
82,33,113,33.296831326568004,79.13466445063395,5.090543856321055,710.4854490673389,sugarcane,3299.46
115,91,89,24.594781397671184,71.91450874131277,6.324268579883696,1377.8288230921817,cotton,4335.46
71,72,62,38.6241765910019,45.239175172522565,4.654344803232714,1769.3040375198386,tomato,3619.07
115,83,115,27.045086063473533,77.55451638395405,4.571191986883797,1945.6570805174367,chickpea,5362.25
48,66,53,29.28034774036994,46.69835739289661,6.2605216730952025,814.4022814961928,mango,3049.14
55,17,149,35.638270583668735,41.3881535900626,5.511841977830516,1633.7965215823765,groundnut,3561.42
32,99,99,21.88090264827806,74.89342100351695,7.233443179493451,1732.7554495174886,rice,4473.47
90,71,110,16.880050719070063,84.78117099740538,7.396963147253651,1321.711837456507,banana,4275.64
105,38,106,32.69459945906206,61.30006410027734,8.081614898233022,825.6653880135732,maize,3677.96
47,83,18,27.075296388709468,64.54046655399846,7.542730054156155,1314.3594174928419,cotton,3530.05
85,26,21,37.41260627397487,49.67859208063011,4.692976492546167,1252.008027760723,wheat,3100.68
64,75,78,39.56700121806085,62.1501709821521,5.98649204143107,1291.7459104336835,groundnut,3685.19
81,15,37,24.97773376436823,38.578894870806465,5.5920934070084884,1314.6683848178986,maize,3396.11
47,67,65,25.38597540649152,92.12900392939434,6.044529799308645,1724.704743569051,sugarcane,4295.67
47,78,108,25.19906505514316,82.02344248767875,5.140302635874806,506.1467238811946,mango,3847.01
127,37,119,23.113852743273153,73.418248953442,4.890816414762374,861.1291057073025,wheat,4292.38
63,71,86,34.54217744415993,64.9826341594862,6.583938170033603,1254.8031092312806,maize,3490.37
103,50,112,33.97489406226819,81.49099385481769,7.381525243465577,709.9899295009275,maize,4236.9
49,78,115,26.96612176376312,62.15922057307728,7.307643607727771,1960.6756197512707,mango,3916.24
94,91,118,16.116530409472468,49.498304030044615,6.303777288704909,673.6704672841925,groundnut,3640.31
147,99,121,22.738982537826836,40.42432528583368,6.589115945155784,1045.3319851562574,maize,4992.13
111,93,67,22.307576163870937,72.09306327211748,6.565314890034566,1779.257082283523,wheat,5042.29
148,50,87,35.27718115500646,90.41267342672342,7.266281511072225,344.1145927884072,rice,5051.73
140,58,84,17.189389335404368,39.985205977782826,4.691700703824097,1677.2384037696534,maize,4169.54
46,58,51,35.1418844760676,41.70117292830244,7.339584435484896,1227.815064154406,maize,3379.1
140,85,77,31.729591304978577,58.18439217161978,6.82880360302915,257.24367347540675,maize,3926.47
135,80,42,33.31103647826123,82.44845761477978,5.292434858686297,1825.2432055401846,chickpea,5407.0
22,12,80,25.805329689625587,49.1049773831478,4.696235414985058,270.55430382033745,wheat,1905.57
122,19,65,31.993144900043955,46.504340103551826,4.934111162231554,1127.3920332883272,cotton,3634.41
81,98,114,30.225723617672898,70.2978089450842,6.598765365677078,288.25624345822604,maize,4061.69
70,44,110,34.22450488071574,64.81496082183156,7.533634120365131,328.16017725409665,sugarcane,3626.87
78,89,60,26.1692458617063,33.91432368894036,5.838629148498004,1796.9677656642054,mango,3651.28
137,11,83,26.82064062240756,35.29684852510297,6.016495642820887,1578.4859845323983,mango,4163.46
115,33,130,31.089405568495504,71.7958437120098,8.23658566018445,554.4941118408046,chickpea,3836.32
132,83,14,17.701937341659708,60.23303394460567,5.3520523361303045,1316.842351785657,banana,5065.97
81,47,92,25.906111209107934,93.11351745329455,4.9149976983014065,1630.423223176188,sugarcane,3991.1
71,31,60,39.298771131495144,74.10454169745421,5.873640455200071,1801.2631544603564,sugarcane,3173.1
31,35,19,15.93880800150114,30.654788029560045,7.483688477969094,1042.9524683104632,wheat,2935.85
58,52,149,22.900118071659847,61.266220687030014,7.004309164224527,1815.4997793221676,groundnut,4449.17
149,64,13,22.85274547723427,56.93911577730617,6.163181757478277,1114.1301308916109,rice,4204.72
132,48,104,30.836602980894316,36.936400899594965,8.359010131327322,1438.8104759198438,wheat,4288.25
120,38,89,17.645008985603496,90.00857433169236,7.439985753178293,1962.2528469652505,maize,4688.92
132,29,45,30.713600771971528,82.32573444031203,4.747445697533175,624.7132205501482,chickpea,3326.63
100,50,34,17.376006016290486,44.95558404730012,7.478525775416193,503.33829694846065,mango,3275.16
132,63,107,17.373841185458275,46.638749324794816,4.596154223623433,815.6338849601663,cotton,4160.2
21,29,110,33.20458392971206,32.08117346576431,7.101293292469622,495.9182408965569,chickpea,2614.38
149,28,18,23.10337934581991,49.28663435263766,5.341931345170635,711.4930502687735,banana,3485.0
73,93,70,39.4355736928437,68.00043057936799,7.285768836150231,1537.3735820670872,tomato,4068.41
106,75,62,15.933823410888873,57.35482024513344,5.739118266591184,1059.543264658317,maize,4058.22
148,39,72,26.12766659294985,93.00160514177927,7.992025231822259,875.0743300908233,chickpea,4297.5
