Crop,Soil_Type,Nitrogen,Phosphorus,Potassium,pH,Organic_Matter,Fertilizer_Recommendation
Sugarcane,Clay,65.1089728388419,40.495877754336355,52.468673154260074,7.4199932439598815,1.6465958749312763,Organic Compost
Cotton,Clay,76.280992312503,36.62664914198331,75.94094338869645,5.238047982394846,1.4252761071161404,Organic Compost
Tomato,Clay,129.63663504830524,21.734621687771707,58.45334416235165,5.886558777479545,5.229343655205648,DAP
Sugarcane,Clay,57.6006140483849,62.690333659641354,12.913745395620657,7.153122547431273,7.762814257449284,Potassium
Maize,Silty,131.750955873704,50.27929524831974,22.630122494437764,6.428357378097919,4.519049162683068,Potassium
Potato,Clay,22.33882033673681,87.24159427078035,25.83617748293732,7.454284154539575,1.3606065815751358,Urea
Tomato,Sandy,118.7517812092083,8.050410145795535,29.497104096260266,8.34483160489144,2.548530592542193,DAP
Tomato,Clay,128.6566686276631,66.16745311773701,58.7133222352979,4.96618675086079,2.7135503449103946,NPK
Sugarcane,Silty,35.45447139722742,77.4801434585983,52.87674908341238,7.338270865592244,3.36499990395865,Urea
Wheat,Clay,70.24851453210806,77.15122407288916,24.300203644599847,5.421376622528458,1.3052236851034884,Potassium
Maize,Sandy,33.16996845291179,89.17702687407488,11.417710128290272,6.157906909630277,7.334248903485414,Urea
Sugarcane,Silty,108.92457805919048,74.25820556880194,21.286059425098216,4.631450903180559,4.608947613050467,Potassium
Maize,Silty,84.94868752863195,93.14195585653115,98.51622469876732,5.043629529170795,5.696515550678764,NPK
Maize,Sandy,98.94526853916494,36.602376982984694,49.511960230189864,5.779109156195599,1.4702098582650627,Organic Compost
Potato,Sandy,37.50817537386956,52.80489459139659,87.39782294670069,5.86794322115194,1.3788082746255457,Urea
Tomato,Sandy,39.64442068733874,6.337568011874614,85.63148433354012,8.098340865848384,5.105274404283831,Urea
Cotton,Sandy,15.809625571386892,5.660970793812665,53.594357958973,7.46725163706606,7.211072073529456,Urea
Potato,Sandy,55.08945492740216,27.81202894289439,72.13533230375164,8.388731872748163,4.699374006716829,NPK
Potato,Silty,88.3642525867145,14.5766837282131,23.311440989207668,6.896286041340963,7.1447342079905,DAP
Maize,Silty,130.11088795962604,29.720079953896594,70.39768696805629,5.466854928365272,6.676938911386675,NPK
Groundnut,Clay,103.3698426442153,21.819112980197755,30.876535030012505,5.810620119686572,1.5309765005644453,DAP
Tomato,Clay,70.9554852759652,7.709402359671582,84.04589919164432,5.779343693167869,2.413702320699829,DAP
Wheat,Loamy,143.4368160151793,91.38389390857469,12.953792645346443,5.805977310653006,5.603974684087397,Potassium
Potato,Clay,110.69432808061646,5.7811974819446945,78.44817392410137,7.191856692447263,4.104509677850291,DAP
Cotton,Clay,140.223128400757,74.92780371202312,14.494006124018856,6.623231712361665,3.034898695528444,Potassium
Groundnut,Sandy,83.86231625810319,19.45404925735407,88.71297750495935,6.041696712346577,3.9304369923358538,DAP
Groundnut,Sandy,46.24659847103955,91.66181408996201,33.899429222825354,5.096359074914867,4.11639752389444,NPK
Wheat,Clay,17.395736091061078,89.81561426103914,67.1673696589046,4.588556651768584,7.373865755751176,Urea
Potato,Loamy,111.65187920773907,67.12060890507945,51.31271646892658,5.37533871035077,1.724207985934671,Organic Compost
Cotton,Sandy,26.98241972077478,68.86224423105749,39.7987987999222,4.929885615874725,2.958115227653305,Urea
Tomato,Clay,52.388517958075404,5.5072184871204115,66.31697415243217,7.6417801234089575,4.762953716078997,DAP
Rice,Clay,84.54592710374564,98.56279878079219,95.01468315236761,4.9499918312555415,5.888008486414142,NPK
Cotton,Silty,89.01832228916467,88.39409733970237,8.920626000589076,7.396912949227344,5.414461022714706,Potassium
Wheat,Loamy,94.08164757819904,90.03509144435874,92.29102130889491,6.042634759104331,7.591499164161761,NPK
Groundnut,Silty,33.275746248958086,67.62823101983284,62.86275722699629,4.7935135589751035,6.569262473736313,Urea
Tomato,Loamy,63.163236675030824,37.75475822218097,81.69485857305997,7.750920197726343,4.899537893821012,NPK
Cotton,Sandy,96.40719179637534,89.89662166359568,41.46812057625637,6.818522280946453,2.5027788417145524,NPK
Rice,Loamy,145.77464104872988,32.69410817436327,49.82508260957331,5.443046051454292,4.156119619815678,NPK
Rice,Clay,111.86835927795642,58.457596617509274,87.54082142111058,8.07872469733067,5.853675709361341,NPK
Maize,Clay,139.1645259931541,14.474442372668827,44.410557131933196,4.681033255482205,6.865735223852594,DAP
Maize,Loamy,116.70968816398478,92.58578486261126,55.792658841163075,5.307278432791051,7.718153570956711,NPK
Sugarcane,Loamy,92.84037564493606,18.373193488265265,6.918517693011626,7.508187711223444,5.238169362965424,DAP
Wheat,Loamy,36.88327167908824,26.36519654438869,20.066810554614015,7.337511721239556,4.688435571131027,Urea
Potato,Silty,103.33599126495183,58.02274502218042,65.96021825760599,5.657086774897913,1.1238434618480382,Organic Compost
Cotton,Loamy,97.27313923438699,77.58883502023325,73.11280560106833,4.748099501411133,1.5046934840512596,Organic Compost
Cotton,Sandy,94.3456838640173,63.8383740639484,60.34708899452745,7.932312288899775,2.092734983461802,Organic Compost
Potato,Silty,78.57002151835371,27.052721716014837,18.614453446183013,5.75479055227961,1.3833195183273965,Potassium
Sugarcane,Silty,84.01192455849859,5.089589040111582,47.31351571489431,5.28285365971306,3.8060426716344855,DAP
Groundnut,Loamy,56.82195379653457,76.92930512920672,38.734002804503035,6.564247289443909,3.358149815972105,NPK
Groundnut,Sandy,82.70377696992244,98.59469596155391,52.087827683333394,8.14090879712979,5.46147910507875,NPK
