Crop,Soil_Type,Temperature,Humidity,Soil_Moisture,Rainfall,Growth_Stage,Irrigation_Need
Sugarcane,Clay,26.809065608323262,48.023061385002386,49.973619498324275,145.99966219799407,Vegetative,Low
Cotton,Clay,29.20306978125064,44.96840721735525,69.73974180100754,36.90239911974231,Vegetative,Low
Tomato,Clay,40.636421796065406,33.211543437714504,55.01334245250665,69.32793887397723,Seedling,Medium
Sugarcane,Clay,25.200131581796764,65.5450002576116,16.66420664894371,132.65612737156366,Flowering,Medium
Maize,Silty,41.08949054436514,55.74681203814717,24.84641894268443,96.41786890489598,Fruiting,High
Potato,Clay,17.644032929300746,84.92757442430027,27.54625472247353,147.71420772697877,Fruiting,Medium
Tomato,Sandy,38.303953116258924,22.40821853615437,30.62914029158759,192.24158024457194,Flowering,High
Tomato,Clay,40.42642899164209,68.29009456663448,55.23227135604034,23.309337543039497,Seedling,Medium
Sugarcane,Silty,20.454529585120163,77.22116588836708,50.31726238603148,141.91354327961218,Fruiting,Low
Wheat,Clay,27.91039597116601,76.96149268912302,26.252803069136714,46.06883112642291,Maturity,Medium
Maize,Sandy,19.964993239909667,86.45554753216439,15.404387476454966,82.89534548151384,Fruiting,Medium
Sugarcane,Silty,36.19812386982653,74.67753071221205,23.714576357977446,6.572545159027965,Seedling,High
Maize,Silty,31.060433041849702,89.58575462357722,88.75050500948826,27.181476458539787,Vegetative,Low
Maize,Sandy,34.05970040124963,44.94924498656686,47.48375598331778,63.955457809779936,Vegetative,Low
Potato,Sandy,20.894609008686334,57.74070625636573,79.387640376169,68.39716105759699,Vegetative,Low
Tomato,Sandy,21.352375861572586,21.0559747462168,77.90019733350746,179.91704329241915,Seedling,Low
Cotton,Sandy,16.24491976529719,20.521819047746842,50.9215645970299,148.36258185330303,Vegetative,Low
Potato,Sandy,24.66202605587189,38.009496533863995,66.53501667684348,194.4365936374082,Vegetative,Low
Potato,Silty,31.79233984001025,27.560539785431395,25.420160833016983,119.8143020670481,Seedling,High
Maize,Silty,40.738047419919866,39.51585259518152,65.07173639415267,48.342746418263594,Maturity,High
Groundnut,Clay,35.00782342376042,33.2782470896298,31.79076634106316,65.53100598432857,Fruiting,High
Tomato,Clay,28.06188970199254,22.139001862898617,76.56496774033207,63.967184658393414,Seedling,Low
Wheat,Loamy,43.593603431824135,88.19781098045371,16.69793064871279,65.29886553265032,Seedling,High
Potato,Clay,36.57735601727495,20.616734854166864,71.85109383082221,134.59283462236314,Flowering,High
Cotton,Clay,42.9049560858765,75.20616082528142,17.994952525489563,106.16158561808324,Vegetative,High
Groundnut,Sandy,30.82763919816497,31.41109151896374,80.49513895154472,77.08483561732886,Maturity,Medium
Groundnut,Sandy,22.76712824379419,88.41722164997,34.3363614508003,29.81795374574332,Flowering,Medium
Wheat,Clay,16.58480059094166,86.95969546924144,62.35146918644598,4.427832588429181,Maturity,Low
Potato,Loamy,36.782545544515514,69.0425859776943,49.00018228962239,43.76693551753852,Vegetative,Medium
Cotton,Sandy,18.639089940166023,70.41756123504538,39.30425162098712,21.49428079373625,Vegetative,Medium
Tomato,Clay,24.083253848159018,20.400435647726642,61.635346654679715,157.08900617044787,Vegetative,Low
Rice,Clay,30.97412723651692,93.86536745852015,85.80183844409903,22.499591562777077,Fruiting,Medium
Cotton,Silty,31.93249763339243,85.83744526818607,13.301579789969749,144.84564746136724,Maturity,Medium
Wheat,Loamy,33.017495909614084,87.1329669297569,83.50822847064835,77.13173795521652,Maturity,Low
Groundnut,Silty,19.98765991049102,69.4433402788154,58.726532401681084,14.675677948755194,Flowering,Medium
Tomato,Loamy,26.392122144649463,45.85901964909024,74.58514406152419,162.54600988631717,Seedling,Low
Cotton,Sandy,33.515826813509,87.02364868178606,40.70999627474221,115.92611404732267,Vegetative,Medium
Rice,Loamy,44.09456593901354,41.86376961133942,47.7474379870091,47.15230257271461,Vegetative,Medium
Rice,Clay,36.82893413099066,62.20336575066521,79.50806014409312,178.9362348665336,Flowering,Medium
Maize,Clay,42.67811271281873,27.47982292579118,43.187837584785846,9.05166277411029,Maturity,High
Maize,Loamy,37.86636174942531,89.14667225995626,52.7727653399268,40.36392163955258,Fruiting,Medium
Sugarcane,Loamy,32.751509066772016,30.557784332841,11.615593846746632,150.4093855611722,Maturity,High
Wheat,Loamy,20.760701074090335,36.86726042978054,22.687840467043383,141.87558606197783,Fruiting,High
Potato,Silty,35.00056955677539,61.860061859616124,61.334920637983984,57.85433874489561,Fruiting,Medium
Cotton,Loamy,33.70138697879722,77.30697501597362,67.35815208511016,12.404975070556624,Maturity,Medium
Cotton,Sandy,33.074075113717996,66.45134794522242,56.608074942759956,171.61561444498875,Vegetative,Low
Potato,Silty,29.693576039647223,37.41004346001171,21.464802902048852,62.73952761398051,Fruiting,High
Sugarcane,Silty,30.85969811967827,20.070728189561777,45.63243428622678,39.142682985653046,Flowering,High
Groundnut,Loamy,25.03327581354312,76.78629352305794,38.40758130905519,103.21236447219542,Flowering,Medium
Groundnut,Sandy,30.579380779269094,93.89054944333203,49.65290752280707,182.04543985648945,Fruiting,Low
Sugarcane,Silty,20.926677170354345,80.74348402295678,79.62632276432754,8.70931556867507,Vegetative,Low
Groundnut,Clay,39.1552319208113,54.51549636174615,72.06891509269215,153.16081760617755,Fruiting,Medium
Maize,Silty,20.573308640961233,87.782544604933,16.719160111132716,114.49464558774179,Flowering,Medium
Cotton,Loamy,17.548988696683992,50.73857548387625,81.22473582196514,85.08982331036339,Flowering,Low
Sugarcane,Sandy,28.08738079071472,59.37005631826007,47.74137209198589,148.81608882101202,Maturity,Low
Cotton,Loamy,34.749223185181854,55.784732554676246,69.50897159087987,193.16488488832647,Vegetative,Low
Potato,Clay,28.131504748006243,53.571790449914374,21.20313850114817,45.84124223253821,Maturity,High
Rice,Clay,23.302623958539257,78.13930769704294,63.65756205656385,28.729473014423924,Seedling,Low
Maize,Clay,31.745135516713223,59.5076680452119,28.906081408756634,182.5763490445394,Fruiting,High
Tomato,Loamy,25.410070062365996,43.75378415189121,45.070471771274526,133.79061549146073,Maturity,Low
Maize,Silty,42.98603070379899,39.361862574385874,11.349029606568353,87.59720431239319,Vegetative,High
Sugarcane,Loamy,42.67935418810716,22.831048772557505,22.12885103443808,114.65191405285663,Fruiting,High
Tomato,Sandy,30.071154599162863,63.73963714122845,17.366439449889583,149.1227810352488,Fruiting,High
Rice,Silty,24.836519820547757,37.24710615507757,29.179533835060674,154.60637974114343,Fruiting,High
Sugarcane,Clay,37.11397241869918,31.11004415122873,18.00144720194578,183.97883616379292,Fruiting,High
Wheat,Loamy,16.101388304491998,69.03724728707581,65.35280212956495,85.36855777912453,Fruiting,Low
Cotton,Clay,29.243070181309538,71.09069433661617,12.32319217673755,58.682182003879,Vegetative,Medium
Rice,Clay,25.089701828110005,76.41161691932496,59.419240049999836,127.93285335796838,Seedling,Low
Cotton,Sandy,42.61607655307664,57.76826722539436,21.25662646604594,83.14557985590608,Flowering,High
Groundnut,Silty,15.360090818180476,87.0540953902915,85.61291657423175,118.91969078979558,Seedling,Low
Wheat,Sandy,31.584446271550473,90.22570650486709,84.64752584878835,83.99715969119003,Flowering,Low
Wheat,Sandy,37.21990743199878,80.55282048443671,28.04024820167701,30.599157335634896,Maturity,High
Rice,Sandy,29.550539625721235,67.66951115061404,59.15370385784236,93.88535033179168,Fruiting,Low
Wheat,Clay,17.56209090488165,42.779071519339155,12.240425557796675,138.18356438820655,Maturity,Medium
Tomato,Sandy,44.173841700837066,93.72086912151659,84.54308344409392,159.85676153352998,Maturity,Low
Wheat,Sandy,30.540312941282938,40.56021253939538,51.83898465533677,98.66525535930937,Flowering,Medium
Cotton,Silty,33.42558732957034,35.19926914928233,13.45785211342232,33.04757804208018,Vegetative,High
Cotton,Silty,22.09829348122522,53.161558533993706,37.39999944065099,82.93754192988632,Fruiting,Medium
Sugarcane,Sandy,29.504942553204113,24.263042803429133,16.147956948898738,157.25878576833964,Maturity,High
Cotton,Silty,27.874484758749656,93.38708485038431,41.43555514986879,82.57185412341457,Seedling,Low
Sugarcane,Silty,17.24687526005951,64.13251673123186,63.594107372905846,139.30615872084445,Fruiting,Low
Cotton,Sandy,18.184810606424016,61.771406874813145,47.59119264331517,101.44273633561795,Vegetative,Low
Tomato,Clay,40.12417558856323,69.18472099247899,40.69777397755636,48.24462502187934,Fruiting,High
Potato,Sandy,22.19459856619771,57.2767735832905,19.532563643237182,159.23010160461487,Maturity,Medium
Sugarcane,Silty,20.84874814495892,22.40476378209062,29.595123655492507,16.842690814137406,Seedling,High
Maize,Clay,30.147343537504177,65.92334666302975,18.01146301906809,104.97805655103012,Maturity,Medium
Groundnut,Loamy,38.06241394087539,73.7130407717323,74.59989853253286,41.77820684868099,Vegetative,Medium
Rice,Clay,16.858395557369636,51.256179546803985,20.819186238777803,13.413125708275132,Flowering,High
Cotton,Silty,32.304237589147675,76.79716790533948,57.62986932391148,100.58678741664977,Seedling,Low
Wheat,Clay,18.5763132852172,37.02509745038155,37.41923308710767,99.91243118698472,Vegetative,Medium
Potato,Sandy,16.093831524768554,36.5957443299638,28.07827077241468,141.38018033514416,Vegetative,High
Cotton,Loamy,16.582318564866522,32.10627407656805,61.1574751593683,148.95013861038098,Maturity,Low
Wheat,Loamy,40.02492324625324,47.89960698418714,46.56018475015525,145.55829773857937,Maturity,Medium
Groundnut,Loamy,18.539174508841846,83.52590265418127,42.01163738276473,81.911746583351,Maturity,Low
Groundnut,Silty,16.35454093236876,82.09340466117982,57.42816039137772,126.33795744531251,Flowering,Low
Groundnut,Silty,28.13699661428737,48.711815597262785,49.301410279200056,115.38904852879206,Fruiting,Low
Wheat,Loamy,40.319804158260744,64.18390519851775,34.278736684124866,84.31235122338391,Fruiting,High
Cotton,Clay,22.87225129467906,74.06122373561867,54.72490302122013,119.44253883719864,Maturity,Low
Groundnut,Loamy,27.651378525777492,38.09050809710172,63.559886124055566,189.4495753412525,Maturity,Low
Tomato,Clay,16.197675976912535,32.61058144210603,12.135452686948343,38.57874873627547,Flowering,High
Sugarcane,Clay,28.472355424046278,92.90719949092332,47.26973831261403,181.15441915710525,Fruiting,Low
Wheat,Silty,32.32839241911401,66.3167984907214,14.614662766683502,10.691102796639672,Flowering,High
Wheat,Clay,32.127211612564345,93.60617913752479,24.912433125448885,61.67784258033213,Vegetative,Medium
Cotton,Loamy,24.972800765230957,45.33169903491718,54.84069872623785,57.629049722305645,Fruiting,Low
Wheat,Silty,24.465995419894064,72.72737749805987,79.29511322124645,125.27302157618114,Maturity,Low
Wheat,Sandy,18.198708568097935,36.69527274059283,80.62445433507878,26.244990355458064,Seedling,Medium
Groundnut,Sandy,26.003949619388052,39.59001284554347,15.595520811090502,176.46952236795076,Vegetative,High
Cotton,Silty,17.98484006618894,58.392659095221795,43.52840690293653,165.71028169300826,Seedling,Low
Groundnut,Loamy,37.99787834136155,43.97135941310535,56.6405186403641,130.41316393705554,Flowering,Medium
Sugarcane,Sandy,43.98822893244558,32.57161728804384,21.765592364027473,91.68276635843955,Flowering,High
Potato,Sandy,44.10223370000121,39.716052649199455,71.23457733958173,186.59120842841568,Flowering,High
Sugarcane,Clay,40.95213298126181,22.681129584939846,69.5388206749791,166.1493109441112,Maturity,Medium
Potato,Clay,33.023764480188575,72.8317716108115,82.26728109654357,99.86302961624898,Flowering,Low
Groundnut,Loamy,36.0259709173164,56.90874928143962,10.678880966675441,140.37467089086223,Seedling,High
Sugarcane,Silty,23.556174080412422,27.06822998033942,27.334739519120212,113.38599043593692,Vegetative,High
Cotton,Loamy,33.923112605178616,32.87704948463684,76.17493713962574,117.58844767765291,Maturity,Medium
Rice,Silty,28.669486483196323,27.690090358448302,63.64640406615483,66.19521388749425,Vegetative,Low
Groundnut,Sandy,29.460520193307975,65.94446062069073,81.55118829587926,92.41692092497935,Flowering,Low
Potato,Clay,37.73329681125474,27.065777270937033,14.574372362421322,15.624286157948841,Fruiting,High
Tomato,Loamy,23.457550667917552,76.5711749776412,57.75711725731543,71.4697383329185,Maturity,Low
Potato,Loamy,24.541188350835597,21.53831894902934,55.52372599149393,139.1657030724304,Flowering,Medium
Tomato,Silty,42.7392537338591,38.70318409969191,12.85395330884259,190.64320610123727,Maturity,High
Wheat,Silty,16.686728845529167,86.80000069189303,51.08176615299868,192.61282255260406,Fruiting,Low
Sugarcane,Loamy,29.56902895240021,73.88984885916845,58.76162490479394,111.14457382497834,Seedling,Low
Tomato,Silty,42.384024012235855,25.47262496942658,25.30345393616858,121.32445036191642,Seedling,High
Potato,Loamy,33.310890234544715,81.58445783638848,31.866366649973035,37.1442371001935,Seedling,Medium
Wheat,Loamy,31.392212226363963,56.97763411551536,61.22778770381896,139.06162161870614,Fruiting,Low
Rice,Loamy,22.492325376880657,83.5087270376622,47.464075807996664,14.131758534877248,Vegetative,Low
Cotton,Sandy,25.29826467193345,65.0554830837795,78.64109260546614,56.937137159888906,Fruiting,Low
Cotton,Silty,40.561452474140786,71.13747740246441,37.390541280735064,133.67266945708843,Fruiting,High
Cotton,Clay,31.776543953053743,94.51261702967811,31.33277267105609,62.06202630869786,Flowering,Medium
Tomato,Clay,30.442265812703397,37.42516594430136,88.78927522758742,9.969374822890863,Seedling,High
Rice,Silty,17.987391406200867,66.79591810710413,82.89086161040667,166.37408187019275,Maturity,Low
Tomato,Loamy,15.480844693653694,54.52410425430487,12.319419599918389,62.06600142691261,Vegetative,Medium
Sugarcane,Clay,43.91055566061147,22.958896469201857,71.65828922452528,12.621044971735685,Maturity,High
Tomato,Clay,26.309585018605247,21.085298112714877,18.826781906016237,14.957632900573037,Flowering,High
Rice,Silty,33.09639186298513,28.9421433363394,12.198815586349676,50.35175975775073,Flowering,High
Rice,Clay,17.391452195618548,68.6818805403911,31.89564127730791,35.60318944430525,Vegetative,Medium
Sugarcane,Loamy,35.493428571691396,62.537231593504416,31.547670324888344,154.86002355603017,Maturity,Medium
Rice,Silty,42.97700126117883,61.50721708727956,75.54550098775718,64.33680933340689,Vegetative,Low
Potato,Loamy,32.26995758992259,22.389257189619507,66.85337967542681,160.93915700796651,Vegetative,Medium
Rice,Clay,18.783459671262317,55.19772472700053,88.52875418656114,34.76919956463056,Seedling,Low
Cotton,Clay,32.451645824204306,89.34671133818964,66.92103202494548,98.57583590881676,Maturity,Low
Potato,Loamy,37.99041639313957,49.81939019829849,43.46044426048383,137.60742671062576,Seedling,High
Potato,Sandy,27.19249609722056,66.86918523413422,65.91421287561735,130.39817077317096,Seedling,Low
Sugarcane,Clay,41.39513243824403,78.48640067173577,89.95672537491217,120.22588198605375,Seedling,Low
Maize,Sandy,34.460488600720936,78.79439593564157,66.81135060500225,184.96432038623396,Fruiting,Low
Maize,Clay,41.977467548676074,58.94600617964535,70.93450847842547,45.70502954134887,Flowering,Medium
Rice,Sandy,33.70515933742011,84.34639590517523,85.06920121522074,98.74384089242108,Flowering,Low
Potato,Sandy,18.938639160144728,49.35335700228102,19.092100904934668,176.79851001448174,Fruiting,High
Maize,Sandy,24.290751333155676,86.65199110885987,66.38274347581815,15.578753119031408,Vegetative,Low
Maize,Loamy,21.053848447573706,38.0170374796659,78.06447663739591,11.17765365061505,Maturity,Medium
Rice,Sandy,42.26479493150587,41.01623052429283,86.35028801767145,46.66045751165828,Maturity,Medium
Maize,Sandy,37.81200201862448,23.984046814925083,26.87754317693595,126.6042439076037,Maturity,High
Tomato,Sandy,35.29195106730018,79.66863774067122,50.314320617939536,51.97592528996138,Seedling,Low
Wheat,Clay,24.02898958894865,51.27914271745291,64.44438781155854,38.04797676175979,Maturity,Low
Sugarcane,Sandy,20.521343161506405,37.18374604335493,29.797418360106995,91.76046307165842,Maturity,High
Wheat,Clay,37.69353263966735,37.384270821243476,58.03782906002192,122.7196137538823,Maturity,Medium
Rice,Sandy,29.22473837637239,87.6049955921925,30.60630259983995,49.71154140334808,Flowering,Medium
